('grande', 1.0)
('méxico', 0.3064457361860313)
('mercado', 0.2905553136778057)
('teléfono', 0.27805424919949745)
('ciudad', 0.2615347287144949)
('banco', 0.2607952441242206)
('heroles', 0.25786183533572227)
('empresa', 0.25565296394445997)
('listadas', 0.25400025400038095)
('solórzano', 0.25400025400038095)
('mediana', 0.24445885613079654)
('chica', 0.24000768036865966)
('ponemos', 0.2328335661670159)
('recapitalizados', 0.2328335661670159)
('ágil', 0.2328335661670159)
('parte', 0.23232364899681715)
('busc', 0.22902431622995853)
('reto', 0.22861809008637246)
('señal', 0.2229874738911081)
('país', 0.22235524814337249)
('cuarto', 0.22225022225033336)
('venta', 0.22066131998506955)
('hughes', 0.21997067253202993)
('nuevo', 0.21867289912594157)
('american', 0.2160069123317937)
('naucalpan', 0.2160069123317937)
('eficiente', 0.21407024081709106)
('económic', 0.2134772157797174)
('mobil', 0.21065790551432012)
('dirán', 0.21060588479355796)
('monterrey', 0.20785274830263498)
('oper', 0.20739033894608505)
('acuerdo', 0.20691324988779025)
('agresiv', 0.2036532699906392)
('agua', 0.20275709534730177)
('cárden', 0.20205596478012178)
('mundial', 0.20170195433431512)
('sistema', 0.20088234808731356)
('solucion', 0.1995716281431565)
('financiamiento', 0.1987866419864727)
('lugar', 0.19798907377947786)
('caso', 0.19740957791336022)
('semarnap', 0.19661404514669878)
('plazo', 0.19514721949334984)
('petrolera', 0.19399589841579265)
('permit', 0.19251284488553044)
('propietario', 0.1924743384655262)
('cariño', 0.1920061442949277)
('conjunt', 0.1920061442949277)
('escocia', 0.1920061442949277)
('estimacion', 0.1920061442949277)
('flexibiliz', 0.1920061442949277)
('gobernatura', 0.1920061442949277)
('preponderante', 0.1920061442949277)
('zorrilla', 0.1920061442949277)
('dos', 0.1919152531453991)
('aument', 0.19163751517468997)
('empleo', 0.1905116937876668)
('mina', 0.19050019050028574)
('oil', 0.189554774289872)
('reyes', 0.189554774289872)
('mundo', 0.1892337471709616)
('gobierno', 0.1876868222171871)
('proyecto', 0.187325187325281)
('competidor', 0.18668216415808594)
('directv', 0.18668216415808594)
('sector', 0.18667662761257786)
('crecimiento', 0.18621389640015582)
('j', 0.18616717789653486)
('constitu', 0.18600595228571123)
('milla', 0.18536949946633163)
('ocup', 0.18454331104921642)
('pequeña', 0.1827664968624353)
('gener', 0.1826496765084632)
('privad', 0.18255971477048738)
('particularmente', 0.18246898606496403)
('empez', 0.18146654657782443)
('valle', 0.18122846253181463)
('accion', 0.18117732253652533)
('cabal', 0.17788889798987031)
('vemos', 0.17780017780026672)
('cotiz', 0.1768930340359796)
('internacional', 0.17667483605723971)
('desarrollo', 0.1759807231104201)
('problema', 0.17577205457639938)
('form', 0.17536809360305042)
('paraestatales', 0.17511819922894495)
('america', 0.17462517462526195)
('retirado', 0.17444809066301295)
('número', 0.17420009663240382)
('competitiv', 0.1740308545955414)
('aquí', 0.17368021129107503)
('acceso', 0.17285851489119286)
('negoci', 0.17235731521454425)
('resultado', 0.1697798461652791)
('obtuvo', 0.16971105832553268)
('cont', 0.1693548387096774)
('consider', 0.169336851793268)
('capitaliz', 0.16933350266692065)
('directora', 0.16933350266692065)
('tentativamente', 0.16933350266692065)
('vend', 0.16818047310210157)
('antipersonales', 0.16800537625806175)
('emigr', 0.16800537625806175)
('intermediaria', 0.16800537625806175)
('lines', 0.16800537625806175)
('president', 0.16800537625806175)
('promet', 0.16800537625806175)
('sitio', 0.16800537625806175)
('símbolo', 0.16800537625806175)
('producto', 0.16779834552475595)
('sucursal', 0.1677299122651705)
('unid', 0.16757025850558221)
('año', 0.16639083141895536)
('galaxy', 0.16628219864210797)
('nacional', 0.16608459643487997)
('mayoría', 0.1657211181671787)
('dentro', 0.1656639865861404)
('mexicano', 0.16547114471473262)
('industrial', 0.16540932017925047)
('sede', 0.16508332072280238)
('sólo', 0.16506293516624346)
('líder', 0.16473449429670278)
('turchi', 0.16418401833231733)
('área', 0.16350664613972232)
('nivel', 0.1635066461397223)
('finalmente', 0.16340686461592366)
('acuífero', 0.16328587757167348)
('estudio', 0.1632775472970681)
('valor', 0.16307139737188642)
('flujo', 0.16260700012185933)
('telmex', 0.16252545878779484)
('vizcaya', 0.1624591083221647)
('superávit', 0.1623086135160589)
('texas', 0.1623086135160589)
('asegur', 0.16131341739343766)
('canadá', 0.16092251970333502)
('grupo', 0.16089946477392855)
('financiero', 0.16074890373658268)
('ver', 0.15927332634046976)
('prepar', 0.15916375083304185)
('aseguradora', 0.15888814239971283)
('delgado', 0.15875015875023812)
('permiso', 0.15867270075160386)
('manej', 0.15850573957717803)
('tamaño', 0.15715463927342802)
('banamex', 0.15707307817152072)
('pronunci', 0.15700328159671165)
('incluso', 0.15663047902930888)
('tdh', 0.15659019199862312)
('así', 0.1563543879566531)
('añad', 0.1558380220765272)
('importante', 0.15548057441327154)
('privatización', 0.15519825156244135)
('bch', 0.15329165495688793)
('centro', 0.15323828971420655)
('extranjera', 0.15273995249297942)
('federico', 0.15273995249297942)
('gigantesc', 0.15273995249297942)
('oficina', 0.15273995249297942)
('adquier', 0.15242534875526564)
('embarque', 0.15242534875526564)
('sent', 0.15242534875526564)
('sólido', 0.15242534875526564)
('debid', 0.15226780313305813)
('deb', 0.15207634347839236)
('logr', 0.15192712420843157)
('explic', 0.15190686181420776)
('final', 0.151844109267637)
('corr', 0.15142322834638097)
('mexicana', 0.15130373418785256)
('economía', 0.15053748850253693)
('carabias', 0.1504368119073915)
('adquir', 0.15003062161918193)
('serie', 0.1491645824359739)
('vez', 0.14888648426675458)
('esfuerzo', 0.1484918053346084)
('entonces', 0.1483924472177952)
('excepción', 0.14816681483355557)
('estadunidenses', 0.14739758201353798)
('apertura', 0.1472605872814688)
